pincode,area,district,state,lat,lon
125052,Kohli BO,Hisar,Haryana,28.28178,75.47264
125053,Kirdhan BO,Fatehabad,Haryana,29.37986,75.14637
125054,Mauju Khera BO,Sirsa,Haryana,29.54614,75.21483
125055,Sirsa HO,Sirsa,Haryana,29.53478,75.03208
125056,JCD Vidyapeeth Sirsa,Sirsa,Haryana,29.53478,75.03208
125058,Mochiwali BO,Sirsa,Haryana,29.45031,75.11933
125060,PANIHARI BO,Sirsa,Haryana,29.54572,75.11411
125061,Nagpur S.O.,Hisar,Haryana,29.65625,75.42199
125075,Dudianwali BO,Sirsa,Haryana,29.52753,74.73947
125076,Kharian BO,Sirsa,Haryana,29.52358,74.84064
125077,Paniwala Mota BO,Sirsa,Haryana,29.76542,74.89928
125078,Nagoki BO,Sirsa,Haryana,29.69936,75.00664
125101,Asa Khera BO,Sirsa,Haryana,29.78022,74.52431
125102,Mamera Kalan BO,Sirsa,Haryana,29.44908,74.66286
125103,Banwala BO,Sirsa,Haryana,29.78325,74.74772
125104,Chatha BO,Sirsa,Haryana,29.95914,74.69811
125106,Akanwali BO,Fatehabad,Haryana,29.67456,75.73011
125110,Ludesar BO,Sirsa,Haryana,29.37103,75.12614
125111,Chandrawal BO,Fatehabad,Haryana,29.21008,75.70903
125112,Dahman BO,Fatehabad,Haryana,29.57433,75.78631
125113,Hassangarh BO,Hisar,Haryana,29.50658,76.33822
125120,Nangla BO,Fatehabad,Haryana,29.71743,75.86116
125121,Biana Khera BO,Hisar,Haryana,29.35602,74.39928
125133,Sidhani BO,Fatehabad,Haryana,29.7747,75.72435
125201,Gadrana BO,Sirsa,Haryana,29.82675,74.97542
126101,Hathwala B.O,Jind,Haryana,29.123,76.4013
126102,Jind H.O,Jind,Haryana,29.36466,76.20571
126110,Dharthrath S.O,Jind,Haryana,29.376,76.4505
126111,Pegan B.O,Jind,Haryana,29.4753,76.4476
126112,Dharamgarh B.O,Jind,Haryana,29.4061,76.6615
126113,Assan B.O,Jind,Haryana,29.3499,76.49966
126114,Buana B.O,Jind,Haryana,29.54797,76.14181
126115,Barsola B.O,Jind,Haryana,29.4703,76.1813
126116,Dhakal B.O,Jind,Haryana,29.59314,76.11246
126125,Thua B.O,Jind,Haryana,29.439,76.3724
126152,Sainthali B.O,Jind,Haryana,29.5805,76.10147
127021,Bhiwani HO,Bhiwani,Haryana,28.7752,75.9928
127022,Makrana BO,Charki Dadri,Haryana,28.4614,76.2609
127025,Malkosh BO,Charki Dadri,Haryana,28.7784,76.3418
127026,Tiwala BO,Charki Dadri,Haryana,28.60515,76.14417
127027,Chang SO,Bhiwani,Haryana,28.8837,76.2392
127028,Matani BO,Bhiwani,Haryana,28.6296,75.6179
127029,Chandawas BO,Bhiwani,Haryana,28.6995,75.8708
127030,Dhabdhani BO,Bhiwani,Haryana,28.6358,75.9434
127031,Tigrana SO,Bhiwani,Haryana,28.862,76.1407
127032,Baliali BO,Bhiwani,Haryana,28.9449,76.1258
127035,Paposa BO,Bhiwani,Haryana,28.9639,75.9565
127040,Dadam BO,Bhiwani,Haryana,28.8725,75.9144
127041,Siwana BO,Bhiwani,Haryana,28.9734,76.1958
127042,Sanwar SO Bhiwani,Charki Dadri,Haryana,28.7129,76.2911
127043,Jhully BO,Bhiwani,Haryana,28.7218,75.7664
127045,Barwa SO,Bhiwani,Haryana,28.9648,75.6063
127046,Gurera BO,Bhiwani,Haryana,28.90917,75.61587
127111,Biran BO,Bhiwani,Haryana,28.8199,76.0653
127114,Kalinga BO,Bhiwani,Haryana,28.828,76.3087
127201,Barwas BO,Bhiwani,Haryana,28.4267,75.804
127306,Imlota BO,Charki Dadri,Haryana,28.5921,76.2653
127307,Bigowa BO,Charki Dadri,Haryana,28.6745,76.3707
127308,Arya Nagar BO,Charki Dadri,Haryana,28.50907,75.95958
127309,Dhareru BO,Bhiwani,Haryana,28.7084,76.22
127310,Pichopa Kalan BO,Charki Dadri,Haryana,28.5216,76.1508
127311,Dhirana BO,Bhiwani,Haryana,28.7158,76.1414
127312,Badrai BO,Charki Dadri,Haryana,28.5074,76.0695
131001,Sonipat HO,Sonipat,Haryana,29.00014,77.0002
131021,Deepalpur BO,Sonipat,Haryana,28.96238,77.0855
131022,Tihar Bagru BO,Sonipat,Haryana,23.76423,80.14599
131023,Jakhauli SO,Sonipat,Haryana,29.14685,76.86243
131024,Karewari BO,Sonipat,Haryana,29.13717,76.83416
131027,Jainpur BO,Sonipat,Haryana,29.03274,77.07485
131028,Janti Kalan BO,Sonipat,Haryana,29.00385,76.96415
131029,PSRai SO,Sonipat,Haryana,28.96907,77.10072
131030,TDI City Kundli SO,Sonipat,Haryana,28.4391,77.3009
131039,Kurar Brahimpur BO,Sonipat,Haryana,29.07958,77.04459
131101,Bali Qutubpur BO,Sonipat,Haryana,29.13516,77.02838
131102,Pugthala BO,Sonipat,Haryana,29.04169,77.02075
131103,Chhetra Bhahadurpur BO,Sonipat,Haryana,28.91081,77.07938
131301,Chhichrana BO,Sonipat,Haryana,29.1255,76.70254
131302,Gangana BO,Sonipat,Haryana,28.92523,76.5095
131304,Dhanana Ahladpur BO,Sonipat,Haryana,29.14022,76.96241
131305,Khanpur Kalan BO,Sonipat,Haryana,29.1912,76.64831
131306,Shamri BO,Sonipat,Haryana,29.15336,76.78774
131402,Gopalpur BO,Sonipat,Haryana,28.8707,76.9101
131403,Rohat SO Sonipat,Sonipat,Haryana,29.01854,76.95159
131408,Guhna BO,Sonipat,Haryana,28.9672,76.81559
131409,Bhainswal Kalan SO,Sonipat,Haryana,29.34989,77.00506
132001,Karnal H.O,Karnal,Haryana,29.6668,76.77219
132022,Khirajpur B.O,Karnal,Haryana,29.71761,77.07831
132023,Bara Gaon B.O,Karnal,Haryana,29.69526,77.00434
132024,Amupur B.O,Karnal,Haryana,29.42575,76.94003
132035,Padha SO,Na,Na,29.57512,76.77929
132036,Chirao B.O,Karnal,Haryana,29.51764,76.86986
132037,Barauta B.O,Karnal,Haryana,29.50488,76.96837
132039,Bandarala B.O,Karnal,Haryana,29.52122,76.60703
132040,Munak B.O,Karnal,Haryana,29.50536,76.78522
132041,Hanori B.O,Karnal,Haryana,29.60805,76.24478
132046,Thari B.O,Karnal,Haryana,29.52472,76.11628
132054,Kalri Jagir B.O,Karnal,Haryana,29.91119,77.15503
132101,Karhans B.O,Panipat,Haryana,29.24469,77.00933
132102,Gandhi Samarak Nidhi B.O,Panipat,Haryana,29.21169,77.23517
132103,Panipat H.O,Panipat,Haryana,29.40979,76.86051
132104,Ugra Kheri B.O,Panipat,Haryana,29.48072,76.54246
132105,Panipat Thermal Project S.O,Panipat,Haryana,29.39268,76.96504
132106,Binjhol B.O,Panipat,Haryana,29.36214,76.97231
132107,Pardhana B.O,Panipat,Haryana,29.51107,76.29507
132108,Dadola B.O,Panipat,Haryana,29.34731,76.9805
132113,Adyana B.O,Panipat,Haryana,29.49282,76.45715
132114,Bastara B.O,Karnal,Haryana,29.32839,76.3257
132115,Hathwala S.O,Panipat,Haryana,29.40825,76.61274
132116,Ramana Ramani B.O,Karnal,Haryana,29.56635,76.12059
132117,Nilokheri GIP S.O,Karnal,Haryana,29.48412,76.95357
132122,Khojkipur B.O,Panipat,Haryana,29.50558,76.35721
132140,Dadlana B.O,Panipat,Haryana,29.48085,76.87949
132145,Dahar B.O,Panipat,Haryana,29.31022,76.90028
132157,Karsa Dod B.O,Karnal,Haryana,28.44498,76.93579
133001,Ambala G.P.O.,Ambala,Haryana,30.35823,76.80764
133004,Dukheri B.O,Ambala,Haryana,30.30814,76.82963
133005,Sarsehri B.O,Ambala,Haryana,30.36757,76.82751
133006,Ind estate S.O,Ambala,Haryana,30.32168,76.87584
133008,Durana B.O,Ambala,Haryana,30.27004,76.77875
133010,Kalarehri B.O,Ambala,Haryana,29.73117,77.02259
133101,Bihta S.O (Ambala),Ambala,Haryana,30.33898,76.84618
133102,Chudiala B.O,Ambala,Haryana,30.29377,76.87116
133103,Jagdholi B.O,Yamunanagar,Haryana,30.26421,77.1156
133104,Mehmoodpur B.O,Ambala,Haryana,29.81614,77.24741
133201,Barara S.O,Ambala,Haryana,30.22385,77.03706
133202,Alipur Jahangir B.O,Ambala,Haryana,30.24409,77.12299
133203,Sohana B.O,Ambala,Haryana,30.04154,77.23357
133204,Mehmoodpur B.O,Yamunanagar,Haryana,30.37842,76.82018
133205,Kaserla Kalan B.O,Ambala,Haryana,30.22647,76.96362
133206,Sardaheri B.O,Ambala,Haryana,30.31926,77.23069
133207,M.M.E.Complex Mulana S.O,Ambala,Haryana,30.2675,77.0223
133301,B.C.W. Suraj Pur S.O,Panchkula,Haryana,30.77428,76.89483
133302,Kharanwali B.O,Panchkula,Haryana,30.4238,76.60017
134003,Ambala City H.O,Ambala,Haryana,30.37313,76.70636
134005,Jandli S.O,Ambala,Haryana,30.38425,76.77167
134007,Dhankaur B.O,Ambala,Haryana,30.4588,76.66858
134008,Ballana B.O,Ambala,Haryana,29.78416,76.73109
134101,H.M.T.Pinjore S.O,Panchkula,Haryana,30.78272,76.91028
134102,Damaloan B.O,Panchkula,Haryana,30.75084,76.91803
134103,I.T.B.P.  Bhanu S.O,Panchkula,Haryana,30.63433,76.91525
134104,C.R.P.F. Pinjore S.O,Panchkula,Haryana,30.78264,76.92472
134105,Amravati  Enclave SO,Panchkula,Haryana,30.38425,76.77167
134107,Chandi Mandir Cantt S.O,Panchkula,Haryana,30.72383,76.87592
134108,G.K. Panchkula S.O,Panchkula,Haryana,30.70642,76.87278
134109,Devi Nagar B.O,Panchkula,Haryana,30.6724,76.87337
134112,Panchkula Sector 12 S.O,Panchkula,Haryana,30.65718,76.89625
134113,Industrial Estate  Panchkula S.O,Panchkula,Haryana,30.68093,76.83808
134114,Mansa  Devi Sec 5 S.O,Panchkula,Haryana,30.72122,76.85258
134116,Sector 26 Panchkula S.O,Panchkula,Haryana,30.56566,76.93776
134117,Sector 20 Panchkula S.O,Panchkula,Haryana,30.66919,76.85786
134118,Kot B.O,Panchkula,Haryana,29.92608,76.12245
134201,Patwi B.O,Ambala,Haryana,30.42608,76.87469
134202,Korwakhurd B.O,Ambala,Haryana,30.43155,76.98254
134203,Ambli B.O,Ambala,Haryana,30.54627,76.95807
134204,Baladwala BO,Yamunanagar,Haryana,30.60148,76.96019
134205,Mandhana B.O,Panchkula,Haryana,30.44255,76.83802
134999,NDC Sector 15 Panchkula,Na,Na,30.68519,76.84025
135001,Yamunanagar H.O,Yamunanagar,Haryana,26.85512,76.28281
135002,Damla B.O,Yamunanagar,Haryana,29.79986,77.07635
135003,Bherthal B.O,Yamunanagar,Haryana,29.42741,77.0237
135004,Khera Khurd B.O,Yamunanagar,Haryana,30.17223,77.13617
135021,Bakarwala B.O,Yamunanagar,Haryana,30.34042,77.14285
135101,Fatehpur B.O,Yamunanagar,Haryana,30.26469,77.10738
135102,Basatianwala B.O,Yamunanagar,Haryana,30.36537,76.86375
135103,Kot Kalsia B.O,Yamunanagar,Haryana,30.29361,77.38983
135106,Kalesar B.O,Yamunanagar,Haryana,30.38563,77.26412
135133,Bapa B.O,Yamunanagar,Haryana,29.83221,77.35048
136020,Dhand S.O,Kaithal,Haryana,29.87537,76.60661
136021,Ahun B.O,Kaithal,Haryana,29.84638,76.66317
136026,Deeg B.O,Kaithal,Haryana,29.76205,76.55956
136027,Budha Khera B.O,Kaithal,Haryana,29.79997,76.4103
136030,Seonsar B.O,Kurukshetra,Haryana,29.93617,76.55108
136033,Ladana Chaku B.O,Kaithal,Haryana,29.79986,76.4173
136034,Badsui B.O,Kaithal,Haryana,29.79986,76.4173
136035,Agondh B.O,Kaithal,Haryana,30.03807,76.29811
136038,Amin S.O,Kurukshetra,Haryana,29.57028,76.87031
136042,Mundri B.O,Kaithal,Haryana,29.80246,76.56038
136043,Karora B.O,Kaithal,Haryana,29.67054,76.5168
136044,Mandwal B.O,Kaithal,Haryana,29.57595,76.48493
136117,Kailram B.O,Kaithal,Haryana,29.6749,76.25627
136118,Kurukshetra H.O,Kurukshetra,Haryana,29.96955,76.85081
136119,Dhurala B.O,Kurukshetra,Haryana,29.95555,76.81293
136128,Diwana B.O,Kurukshetra,Haryana,29.98142,76.58928
136129,Chammu Kalan B.O,Kurukshetra,Haryana,30.11569,76.6664
